model/parameters,eval/mean_reward,eval/success_rate,time/total_timesteps,eval/mean_ep_length,model/extractor_type,rollout/success_rate,time/iterations,eval/seq_prediction_mse,time/time_elapsed,rollout/ep_rew_mean,eval/best_seq_prediction_mse,rollout/ep_len_mean,time/fps,train/std,train/entropy_loss,train/explained_variance,train/learning_rate,train/policy_gradient_loss,train/n_updates,train/approx_kl,train/loss,train/clip_fraction,train/value_loss,train/clip_range,train/clip_range_vf
,,,720896,,,0.03,22,1.0051384449005127,1764,-228.86961364746094,,364.16,408,,,,,,,,,,,,
,-221.080078125,0.0,740000,224.9,,,,,,,,,,0.740818202495575,-4.256815433502197,0.4280893802642822,8.6302976e-05,0.0013932461733929813,88,0.0049482803,-0.022709187120199203,0.068817138671875,0.04082271223887801,0.18558208,0.2
,,,753664,,,0.01,23,1.0997544407844544,1822,-235.3304443359375,,351.39,413,,,,,,,,,,,,
,-215.14382934570312,0.0,760000,212.2,,,,,,,,,,0.740818202495575,-4.256815433502197,0.4460468888282776,8.5680384e-05,0.00044306631752988324,92,0.0038833371,-0.02217279188334942,0.04586029052734375,0.03811120451427996,0.18492672000000002,0.2
,-221.0412139892578,0.0,780000,262.3,,,,1.04274160861969,,,,,,,,,,,,,,,,,
,,,786432,,,0.0,24,1.0234608054161072,1910,-243.3925018310547,,373.14,411,,,,,,,,,,,,
,-213.5443115234375,0.0,800000,244.9,,,,,,,,,,0.740818202495575,-4.256815433502197,0.43617135286331177,8.5057792e-05,0.0002878517407225445,96,0.004217834,-0.02801254764199257,0.05318450927734375,0.03134308784501627,0.18427136,0.2
,,,819200,,,0.0,25,1.1036381423473358,1971,-240.8939666748047,,367.43,415,,,,,,,,,,,,
,-197.14706420898438,0.0,820000,118.6,,,,,,,,,,0.740818202495575,-4.256815433502197,0.48310232162475586,8.44352e-05,0.0002689627799554728,100,0.0033234707,-0.03157429397106171,0.0521087646484375,0.029604007955640554,0.183616,0.2
,-200.49417114257812,0.0,840000,188.3,,,,1.1256395697593689,,,,,,,,,,,,,,,,,
,,,851968,,,0.01,26,0.9985851645469666,2048,-240.70346069335938,,354.65,415,,,,,,,,,,,,
,-215.04306030273438,0.0,860000,328.3,,,,,,,,,,0.740818202495575,-4.256815433502197,0.5106873214244843,8.3812608e-05,0.00032521094908588566,104,0.0029650694,-0.026169853284955025,0.03827667236328125,0.028530480747576803,0.18296064,0.2
